City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
193,Flin Flon,CA,75.04,few clouds,54.7682,-101.865,Victoria Inn Flin Flon
196,La Ronge,CA,73.65,few clouds,55.1001,-105.2842,Northland Motor Hotel
201,General Roca,AR,61.18,clear sky,-39.0333,-67.5833,Hotel El Recreo
202,Aitape,PG,76.93,scattered clouds,-3.1374,142.3475,
205,Fortuna,US,70.93,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
207,Tomakomai,JP,71.56,broken clouds,42.6369,141.6033,Hotel Wing International Tomakomai
208,Bandarbeyla,SO,76.77,few clouds,9.4942,50.8122,JABIR HOTEL
209,Maxixe,MZ,66.02,few clouds,-23.8597,35.3472,Oceano
212,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
213,Prince Rupert,CA,65.89,clear sky,54.3161,-130.3201,Crest Hotel
214,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
215,Bambous Virieux,MU,70.05,few clouds,-20.3428,57.7575,Casa Tia Villa
217,Caravelas,BR,75.61,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
220,Banjarmasin,ID,73.54,broken clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
222,Shimoda,JP,76.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
223,Lafia,NG,73.71,light rain,8.4833,8.5167,Low Cost Housing Estate
224,Okitipupa,NG,72.91,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
225,Namibe,AO,62.2,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
227,Paka,MY,75.13,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
230,Gradignan,FR,75.45,clear sky,44.7726,-0.6139,Domaine de Raba
233,Muisne,EC,75.47,overcast clouds,0.6,-80.0333,Quinta Samay
234,Marawi,PH,69.15,overcast clouds,7.9986,124.2928,Derogongan Residence
235,Bengkulu,ID,75.52,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
237,Ucluelet,CA,62.91,scattered clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
239,Lagos,NG,74.32,overcast clouds,6.5833,3.75,
241,Yar-Sale,RU,62.82,overcast clouds,66.8333,70.8333,Yalemd
244,Lukovetskiy,RU,61.45,broken clouds,64.2956,41.9211,Provintsiya
252,Saint-Francois,FR,78.24,clear sky,46.4154,3.9054,Manoir Du Bonheur
253,Mangai,CD,79.07,few clouds,-4.05,19.5333,
